Name	 ID	 Course	 Section	 Project Name	Supervisor Name
Aarush a/l Dhruv	A20EC009	Journalism	5	Relations	Dr.Suzila
Abdullah bin Razak	A10EC002	Biology	7	Molecular	Dr.Aiman
Ahmad bin Homad	B18EC111	Art	1	Artworks	Dr.Aiman
Aisyah binti Rahim	B20EC004	Digital	10	Network	Dr.Lee Wei Yi
Atharva a/l Anay	C20EC006	Geology	3	geoastronomia	Dr.Navin
Avyaan a/p Rajatu	A20EC005	Finance	6	Saving	Dr.Raila
Fatimah binti Halim	A19EC003	Computer	2	Database	Dr.Lee Wei Yi
Lim Ah Meng	B18EC007	Healthcare	4	Pressure	Dr.Suzila
Loh Fuan	A20EC010	Landscape	9	Farmland	Dr.Navin
Soh Xiu Mei	B20EC008	Illustration	3	Sketchbooks	Dr.Siti
